dataset,case_id,user,target,rank,segment_id,similarity,item_count,items,times,time_units,active_time_units
ta-feng,1,23709,11,7,1,0.244951,50,"[3052, 2590, 36, 48, 13239, 767, 127, 337, 2223, 14181, 777, 2850, 1434, 815, 1487, 1770, 5086, 467, 811, 3062, 949, 132, 1434, 5485, 1153, 1154, 52, 2268, 873, 7491, 1134, 2519, 2296, 5893, 9084, 14431, 8650, 2493, 664, 4141, 2562, 5638, 145, 5648, 9919, 2375, 2505, 1386, 7, 1274]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[4],[4]
ta-feng,1,23709,11,7,2,0.132916,50,"[1883, 812, 21, 813, 794, 358, 10410, 8378, 13367, 3143, 9611, 3052, 2969, 10749, 1113, 1715, 2436, 2599, 2886, 8647, 430, 2135, 430, 792, 327, 328, 1928, 329, 330, 4746, 15298, 7712, 7293, 5261, 7294, 1350, 9469, 11682, 10576, 11654, 996, 6818, 4900, 4217, 7238, 3477, 5618, 4329, 794, 1242]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",[5],[5]
ta-feng,1,23709,11,7,0,0.114653,245,"[600, 15, 973, 145, 2685, 1580, 5283, 513, 3841, 202, 11513, 13812, 2341, 10512, 15025, 660, 360, 13864, 3127, 13316, 9646, 1149, 2797, 981, 502, 6627, 8368, 9022, 13625, 17, 1722, 1644, 1850, 5047, 807, 1752, 473, 13360, 5779, 127, 5902, 15197, 9098, 8260, 526, 4081, 6226, 12635, 1108, 4046, 9235, 12691, 11826, 1467, 3087, 669, 10780, 7378, 11523, 2117, 3480, 3492, 2021, 2368, 2709, 4344, 856, 482, 52, 1633, 8082, 3453, 7761, 2074, 2379, 1122, 1381, 1890, 2428, 1891, 67, 13476, 72, 7330, 1134, 12168, 3963, 3948, 1690, 115, 335, 6985, 4254, 3988, 2991, 14887, 5118, 352, 418, 112, 661, 8, 2321, 953, 228, 272, 508, 2479, 242, 6411, 2271, 5756, 3546, 7394, 428, 1007, 429, 15464, 401, 8316, 4408, 932, 1402, 2124, 2550, 3398, 785, 7913, 1723, 3589, 727, 3277, 5938, 4133, 6514, 4328, 2953, 21, 3989, 2166, 1661, 13516, 7325, 113, 3326, 12861, 4640, 4229, 4230, 1084, 1120, 4381, 10406, 3512, 580, 15524, 940, 1217, 7394, 790, 19, 12207, 6555, 1141, 943, 1525, 1740, 1769, 4515, 1182, 3404, 921, 1480, 8096, 1001, 4469, 842, 3963, 8773, 10807, 1253, 11970, 285, 3700, 3713, 9801, 524, 2807, 5795, 14943, 15229, 2129, 5096, 2387, 1569, 1480, 1382, 4611, 2197, 464, 2293, 999, 978, 3868, 3564, 599, 4749, 1000, 482, 3592, 3493, 1457, 3918, 1001, 2837, 2609, 4173, 6497, 8247, 6850, 7496, 1712, 9105, 4079, 5618, 5051, 2573, 12600, 274, 3489, 940, 405, 514, 10149, 478, 2057, 1384, 11016, 13855, 35, 231, 647, 9756, 4757, 7534]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6]"
ta-feng,2,17893,2427,0,2,0.217038,250,"[1845, 5895, 1308, 1309, 3561, 224, 1310, 5800, 1931, 2541, 11285, 5756, 1312, 2128, 15424, 719, 13664, 13369, 4379, 1744, 1745, 3880, 6531, 72, 3326, 331, 1226, 6785, 4736, 1201, 978, 4579, 37, 38, 7934, 13101, 3984, 11074, 136, 940, 2626, 256, 9499, 3838, 12066, 2519, 772, 1404, 1405, 4337, 2565, 2426, 996, 120, 3004, 942, 996, 11827, 1367, 2660, 3097, 1153, 3880, 3621, 430, 6129, 6443, 9479, 1434, 1490, 2943, 1592, 139, 4670, 102, 4256, 1545, 6187, 9101, 9479, 577, 1111, 3170, 710, 3489, 10256, 10698, 483, 2771, 7986, 11907, 6646, 427, 10450, 5166, 10033, 10631, 6794, 478, 5662, 12022, 5485, 954, 5485, 127, 2014, 1171, 3764, 941, 6842, 837, 4270, 272, 1707, 1515, 15619, 14289, 3127, 5805, 13023, 9479, 2718, 1153, 12066, 2177, 2266, 9464, 2201, 1216, 5506, 968, 184, 12334, 5298, 430, 1706, 1669, 111, 11498, 430, 7722, 1179, 5805, 996, 4433, 794, 343, 9479, 12066, 1682, 5805, 549, 3183, 9479, 2078, 12066, 1372, 4684, 139, 4154, 2507, 6531, 1931, 3618, 3913, 9656, 2357, 282, 2894, 430, 157, 6897, 2520, 155, 6691, 12981, 7430, 1385, 9646, 5758, 1367, 1308, 265, 343, 13369, 9479, 2761, 208, 1744, 469, 3945, 382, 136, 9488, 425, 2670, 329, 1929, 9138, 5706, 3880, 127, 1146, 1215, 3244, 262, 3601, 3170, 2364, 2341, 535, 870, 6549, 6099, 772, 1042, 396, 1724, 1764, 102, 3338, 1387, 2414, 7113, 432, 272, 5691, 1123, 1584, 294, 6911, 6284, 602, 2638, 757, 426, 6034, 9030, 1826, 3647, 1992, 584, 2663, 3880, 122, 10291, 656, 7410, 393, 3079]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]"
ta-feng,2,17893,2427,0,0,0.163074,50,"[812, 794, 358, 7199, 3880, 6531, 1931, 2301, 7921, 13700, 694, 12717, 145, 4194, 8645, 373, 8562, 1978, 3204, 484, 3543, 4364, 13369, 6366, 3880, 1931, 3204, 484, 8102, 10275, 1773, 21, 292, 3054, 3047, 13689, 7178, 4690, 7391, 936, 923, 14261, 1218, 4961, 6981, 8907, 13897, 14862, 13898, 14215]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],[0]
ta-feng,2,17893,2427,0,1,0.110101,50,"[4185, 4049, 89, 2547, 3838, 5485, 3763, 603, 3081, 2894, 3132, 3916, 1744, 7080, 3452, 1661, 647, 3130, 2859, 5503, 3825, 4772, 14575, 4926, 302, 11721, 386, 9124, 996, 798, 3338, 3490, 120, 302, 245, 1710, 6779, 5764, 10967, 5335, 4049, 9646, 3735, 7938, 1153, 382, 524, 1216, 2943, 4842]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[1],[1]
ta-feng,3,26161,2775,0,2,0.359291,146,"[798, 4907, 772, 1435, 2983, 967, 2211, 7168, 2578, 1386, 1716, 2183, 1063, 1318, 406, 6606, 2886, 1895, 2870, 6705, 6741, 188, 4195, 4991, 3051, 3676, 4128, 1690, 4294, 1348, 5307, 793, 3767, 460, 729, 3254, 226, 1346, 10516, 267, 1583, 2201, 1002, 3914, 3757, 12417, 127, 11745, 8154, 1669, 11301, 2112, 5408, 8210, 393, 2569, 7033, 913, 1308, 1386, 7, 3561, 224, 998, 1275, 464, 978, 2547, 1148, 896, 4139, 2368, 1387, 612, 2355, 3900, 2215, 1859, 4344, 661, 3283, 267, 210, 3917, 732, 954, 711, 5589, 2625, 2422, 3642, 1369, 3605, 2974, 2191, 2229, 3599, 6127, 1267, 3477, 2867, 3198, 5563, 3178, 999, 472, 720, 2649, 2529, 3324, 8159, 10372, 967, 15, 1954, 16, 7148, 5780, 7402, 2228, 2211, 936, 1120, 1062, 9686, 3493, 2962, 231, 7481, 5933, 25, 678, 380, 2754, 492, 2024, 3100, 238, 12992, 153, 1490, 1811, 1868, 2162, 3322, 3323]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[3, 4, 5, 6]","[3, 4, 5, 6]"
ta-feng,3,26161,2775,0,1,0.229145,7,"[791, 792, 880, 386, 337, 111, 157]","[2, 2, 2, 2, 2, 2, 2]",[2],[2]
ta-feng,3,26161,2775,0,0,0.203687,95,"[523, 245, 246, 852, 3800, 5033, 4171, 3650, 5516, 4671, 347, 496, 11, 826, 473, 1167, 2600, 2986, 993, 5205, 655, 2223, 359, 3168, 1886, 411, 3445, 523, 3811, 956, 4447, 529, 242, 757, 5085, 7441, 11704, 2303, 5454, 7901, 7902, 3174, 13277, 188, 8330, 1281, 5618, 3612, 696, 1002, 1139, 1854, 5553, 445, 2961, 1468, 4515, 2242, 1308, 2190, 3561, 1310, 1274, 2183, 211, 1554, 3600, 647, 1462, 242, 153, 1786, 1926, 425, 968, 1187, 715, 284, 13580, 6313, 12862, 724, 430, 127, 726, 6904, 3561, 224, 936, 6650, 154, 3546, 425, 4880, 1903]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1]","[0, 1]"
ta-feng,4,17839,5769,0,2,0.142686,50,"[3778, 1131, 499, 5472, 2983, 7281, 2125, 2101, 335, 812, 814, 1020, 5472, 8805, 466, 4656, 110, 772, 2809, 1049, 2773, 8224, 2212, 4584, 889, 3540, 1505, 428, 1007, 429, 1167, 9169, 3542, 2523, 2061, 767, 430, 1170, 477, 157, 3061, 256, 358, 261, 262, 4171, 613, 1480, 3325, 3063]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",[6],[6]
